NGO0315	1467	1790	1627	1069	1185
NGO0316	678	935	948	518	593
NGO0317	584	711	826	445	400
NGO0318	7329	12549	13125	7604	6484
NGO0319	73	75	125	63	126
NGO0320	392	400	748	374	338
NGO0321	1084	1462	1928	1257	1011
NGO0322	12918	38473	35355	19041	46580
NGO0323	91	47	104	75	67
NGO0324	65	61	92	47	45
NGO0326	3101	9969	7365	9151	9561
NGO0327	514	497	540	396	652
NGO0328	199	327	408	237	373
NGO0329	327	465	596	266	348
NGO0329a	807	639	1655	731	856
NGO0331	167	199	242	155	176
NGO0332	965	1700	1185	978	1990
NGO0333	2107	2674	2304	2191	2821
NGO0335	25103	39068	26136	23840	29982
NGO0336	150	216	208	191	208
NGO0338	1087	1480	1548	1282	1447
NGO0339	448	592	597	451	509
NGO0340	20485	72936	68692	32882	51592
NGO0343	1183	2522	1862	1407	1692
NGO0344	5759	8166	7063	5969	7523
NGO0345	1435	1765	2001	1738	1633
NGO0346	7446	12694	12031	7777	11380
NGO0347	2887	7508	6520	3149	5471
NGO0348	616	709	1014	430	776
NGO0349	2923	3992	3754	2338	3427
NGO0350	244	128	447	80	125
NGO0351	4122	6041	5599	7684	6464
NGO0353	662	696	948	612	558
NGO0354	639	344	786	540	385
NGO0355	476	905	663	763	847
NGO0356	389	684	574	518	634
NGO0357	440	600	438	501	517
NGO0358	400	351	423	367	350
NGO0359	495	423	609	421	350
NGO0360	3311	3884	3538	3039	3892
NGO0361	2667	3453	2680	2196	3184
NGO0362	1313	2015	1506	1140	1515
NGO0363	2943	5418	3036	3634	4914
NGO0364	1050	1416	1012	1109	1448
NGO0365	1618	2640	1936	1920	2711
NGO0372	8074	32303	37699	21451	15846
NGO0373	2384	7542	8556	3704	3401
NGO0374	3714	13425	17821	6467	6716
NGO0375	1638	2768	2182	1515	2606
NGO0376	1801	3382	2776	2136	3689
NGO0377	593	610	736	389	484
NGO0378	76	66	170	63	41
NGO0379	495	495	525	449	372
NGO0380	64	67	147	48	47
NGO0381	272	629	539	330	316
