NGO0215	2800	2960	2560	1603	2069	2229
NGO0216	3026	2525	2841	1477	2087	2112
NGO0217	100406	40982	82090	19603	116946	27492
NGO0219	14607	13479	8172	5076	11524	12097
NGO0220	6241	7415	3723	3097	3296	6271
NGO0221	1302	1166	971	571	986	1194
NGO0222	382	247	378	382	310	201
NGO0223	15635	24820	13991	8633	8606	23131
NGO0224	1258	2069	1193	906	685	1451
NGO0225	3228	4550	2973	1928	1889	2406
NGO0226	2602	5402	2777	1055	2776	1991
NGO0227	135	138	163	100	283	69
NGO0229	1185	1979	1276	504	829	1044
NGO0230	1691	1358	1347	774	972	1279
NGO0231	1515	1678	1192	1033	975	1225
NGO0232	2108	3347	1684	1268	1304	3321
NGO0233	19437	24300	16115	7202	11412	29028
NGO0234	1903	839	1407	684	1334	764
NGO0235	6185	3868	4400	2826	3750	3099
NGO0236	10925	14695	9063	6222	6731	12012
NGO0237	1075	2230	1137	894	552	1872
NGO0239	1139	1946	900	964	848	1473
NGO0240	32059	64222	26263	16540	24444	49940
NGO0242	2649	5231	2714	2241	1887	3810
NGO0243	4328	8778	4599	2420	3915	5438
NGO0244	421	759	584	433	228	602
NGO0245	3907	4934	3335	2532	3743	3636
NGO0248	4882	10039	5102	4185	4096	4895
NGO0249	13532	23398	12518	8568	9304	14068
NGO0250	3033	4020	2985	1275	1164	3792
NGO0250a	520	647	493	692	565	386
NGO0255	1104	1178	862	575	718	614
NGO0256	1594	1411	1290	518	679	1310
NGO0257	1999	2153	1363	1003	1489	1687
NGO0258	804	556	1054	684	366	496
NGO0259	2714	1998	2374	949	1896	957
NGO0260	1238	1644	1049	897	1482	683
NGO0261	953	2010	702	553	615	1733
NGO0262	477	905	359	302	310	703
NGO0263	9956	27202	9280	6252	5889	26133
NGO0264	1127	1077	1094	700	943	1026
NGO0265	4365	4762	3432	2135	2889	4119
NGO0266	5860	7862	4723	3312	3305	5680
NGO0268	3501	5671	3109	2230	1996	5449
NGO0269	9290	11859	7295	5271	9287	9489
NGO0270	3222	5799	3359	1941	1391	5748
NGO0271	1692	2265	1757	937	1142	1804
NGO0272	5615	9306	5221	3687	4364	7279
NGO0274	8992	18285	8357	6328	7046	14799
NGO0275	12823	26857	14402	8075	8796	20192
NGO0276	1647	3203	1538	1933	1642	1886
NGO0277	11847	19073	10639	5933	6208	17716
NGO0278	2347	4349	2152	1646	1769	2953
NGO0281	2025	3238	2371	1652	2140	2271
NGO0282	1644	3760	1568	1324	1110	2318
NGO0283	4494	6739	3625	3646	5013	4297
NGO0284	5139	9279	5350	2641	2947	8109
NGO0285	2253	3845	1905	1499	1847	2988
NGO0286	2894	6019	2749	2357	1765	3608
NGO0288	12947	20740	11754	11041	7408	15408
NGO0289	1577	1056	1354	632	794	918
NGO0291	4874	10864	4377	4406	5302	4843
NGO0292	1103	2090	1021	707	368	1417
NGO0293	2780	3922	2453	1436	1562	3612
NGO0294	4797	8415	4729	2895	3296	6307
NGO0295	23211	40246	23148	17117	13291	23391
NGO0296	10185	10495	9229	6603	5118	10898
NGO0297	12717	12944	12461	6138	7501	8047
NGO0298	13687	13615	11140	10424	6660	11847
NGO0299	3986	6689	3573	2008	2167	4558
NGO0300	311	317	399	219	248	211
NGO0302	7	4	13	18	15	1
NGO0303	2191	2747	2725	1052	1227	1975
NGO0304	15455	17970	13254	8703	14518	12314
NGO0305	1939	1940	1952	1359	935	1304
NGO0306	1279	1073	976	990	1738	697
NGO0307	393	696	677	371	239	563
NGO0308	1101	2239	1148	1025	934	1138
NGO0309	278	484	223	249	259	300
NGO0310	206	442	220	255	203	309
NGO0312	3176	6832	3518	2156	2740	4072
NGO0313	5101	8320	5260	3137	5389	5869
NGO0314	5012	4697	4873	2023	3859	2984
NGO0315	4559	4577	4430	2306	3828	3824
NGO0316	1447	1661	1214	752	650	1557
NGO0317	831	1370	843	653	644	1327
NGO0318	10894	38939	13499	14991	6778	13472
NGO0319	461	442	508	205	224	359
NGO0320	1198	1325	1088	725	655	798
NGO0321	4134	6438	3869	2405	3032	5084
NGO0322	30974	43009	43441	24086	18852	28070
NGO0323	501	534	448	231	160	430
NGO0324	202	198	194	173	102	195
NGO0326	23567	49808	26296	14025	5529	42410
NGO0327	1817	2692	1724	1178	939	2291
NGO0328	1577	4061	2572	1250	1390	2373
NGO0329	830	1547	845	778	788	835
NGO0329a	2389	4046	2632	3610	1001	4931
NGO0331	568	716	711	327	465	571
NGO0332	6282	7126	5719	2630	4290	4428
NGO0333	6439	19616	7514	4234	6115	14059
NGO0335	81275	81824	52868	28963	68630	61723
NGO0336	512	1242	468	317	213	1069
NGO0338	2813	5618	2815	2044	2184	3616
NGO0339	982	1688	1009	824	771	1291
