,ids,growth,status
273,{'NGO1781'},,infeasible
274,{'NGO1325'},1.632907728614799,optimal
275,{'NGO2070'},,infeasible
276,{'NGO0089'},,infeasible
277,{'NGO0249'},,infeasible
278,{'NGO0403'},,infeasible
279,{'NGO0387'},,infeasible
280,{'NGO1787'},1.63811646548202,optimal
281,{'NGO0987'},,infeasible
282,{'NGO1610'},1.6262766402736117,optimal
283,{'NGO2145'},,infeasible
284,{'Orphan'},,infeasible
285,{'NGO1802'},,infeasible
286,{'NGO2009'},,infeasible
287,{'NGO1812'},,infeasible
288,{'NGO1919'},,infeasible
289,{'NGO2001'},,infeasible
290,{'NGO2109'},,infeasible
291,{'NGO1195'},1.63811646548202,optimal
292,{'NGO2168'},,infeasible
293,{'NGO0460'},,infeasible
294,{'NGO2158'},,infeasible
295,{'NGO1782'},,infeasible
296,{'NGO2031'},,infeasible
297,{'NGO1934'},,infeasible
298,{'NGO0068'},,infeasible
299,{'NGO0359'},,infeasible
300,{'NGO1744'},,infeasible
301,{'NGO0257'},,infeasible
302,{'NGO0866'},1.6325582396773695,optimal
303,{'NGO2146'},,infeasible
304,{'NGO1374'},,infeasible
305,{'NGO1082'},1.6381164654820146,optimal
306,{'NGO1357'},,infeasible
307,{'NGO1740'},,infeasible
308,{'NGO1881'},1.140364246714267,optimal
309,{'NGO0443'},1.638116465482012,optimal
310,{'NGO0740'},,infeasible
311,{'NGO1231'},1.6381164654820146,optimal
312,{'NGO2038'},1.6381164654820146,optimal
313,{'NGO1931'},,infeasible
314,{'NGO0526'},,infeasible
315,{'NGO1801'},,infeasible
316,{'NGO0144'},1.6380086685625015,optimal
317,{'NGO2030'},,infeasible
318,{'NGO1029'},,infeasible
319,{'NGO0821'},,infeasible
320,{'NGO1336'},1.5253079881970741,optimal
321,{'NGO2080'},,infeasible
322,{'NGO0809'},1.6381105666642592,optimal
323,{'NGO1671'},,infeasible
324,{'NGO0719'},1.6214713505673215,optimal
325,{'NGO2150'},,infeasible
326,{'NGO1568'},,infeasible
327,{'NGO1603'},1.63811646548202,optimal
328,{'NGO1508'},,infeasible
329,{'NGO0374'},1.63811646548202,optimal
330,{'NGO0390'},,infeasible
331,{'NGO1311'},,infeasible
