Name,formula,charge,Curation of Metabolite Formula
Sfglutth_c,C11H16N3O7S,-1,Preserved from Nmb_iTM560
sheme_c,C42H36FeN4O16,-8,Preserved from Nmb_iTM560
sialylated_los_GC_c,C175H304N5O94P2,-4,"For GLCTR1 - Formula for icolipa_c is incorrect. When glc is added to peagnahhlipa_c, the previous reaction did not add the oxygens. 
The corresponding reactions in LOS synthesis all are also missing these 5 oxygens. This is corrected here.
Used structure diagrams here PMID: 11496013 and here PMID: 30873172 to determine proper formulas. Additionally for SIALT1 - When LPS is sialylated, the NeuAC was not actually added to the structure for LPS.  This is corrected here. Note this sialylation is on the alpha chain of LOS only, which is more common. Not on the beta chain."
skm_c,C7H9O5,-1,Preserved from Nmb_iTM560
skm_e,C7H9O5,-1,Preserved from Nmb_iTM560
skm_p,C7H9O5,-1,Preserved from Nmb_iTM560
skm5p_c,C7H8O8P,-3,Preserved from Nmb_iTM560
sl26da_c,C11H16N2O7,-2,Preserved from Nmb_iTM560
sl2a6o_c,C11H12NO8,-3,Preserved from Nmb_iTM560
so2_c,O2S,0,Preserved from Nmb_iTM560
so2_e,O2S,0,Preserved from Nmb_iTM560
so2_p,O2S,0,Preserved from Nmb_iTM560
so3_c,O3S,-2,Preserved from Nmb_iTM560
so3_e,O3S,-2,Preserved from Nmb_iTM560
so3_p,O3S,-2,Preserved from Nmb_iTM560
so4_c,O4S,-2,Preserved from Nmb_iTM560
so4_e,O4S,-2,Preserved from Nmb_iTM560
so4_p,O4S,-2,Preserved from Nmb_iTM560
spmd_c,C7H22N3,3,Preserved from Nmb_iTM560
spmd_e,C7H22N3,3,Preserved from Nmb_iTM560
spmd_p,C7H22N3,3,Preserved from Nmb_iTM560
stcoa_c,C39H66N7O17P3S,-4,Preserved from Nmb_iTM560
succ_c,C4H4O4,-2,Preserved from Nmb_iTM560
succ_e,C4H4O4,-2,Preserved from Nmb_iTM560
succ_p,C4H4O4,-2,Preserved from Nmb_iTM560
succoa_c,C25H35N7O19P3S,-5,Preserved from Nmb_iTM560
suchms_c,C8H12NO6,-1,Preserved from Nmb_iTM560
sucr_e,C12H22O11,0,Preserved from Nmb_iTM560
sucr_p,C12H22O11,0,Preserved from Nmb_iTM560
sucsal_c,C4H5O3,-1,Preserved from Nmb_iTM560
sulfac_e,C2H2O5S,-2,Preserved from Nmb_iTM560
sulfac_p,C2H2O5S,-2,Preserved from Nmb_iTM560
t3c5ddeceACP_c,C23H39N2O8PRS,-1,Preserved from Nmb_iTM560
t3c5palmeACP_c,C27H47N2O8PRS,-1,Preserved from Nmb_iTM560
t3c7mrseACP_c,C25H43N2O8PRS,-1,Preserved from Nmb_iTM560
t3c7vaceACP_c,C29H51N2O8PRS,-1,Preserved from Nmb_iTM560
t3c9palmeACP_c,C27H47N2O8PRS,-1,Preserved from Nmb_iTM560
tartr_L_e,C4H4O6,0,Preserved from Nmb_iTM560
tartr_L_p,C4H4O6,0,Preserved from Nmb_iTM560
taur_e,C2H7NO3S,0,Preserved from Nmb_iTM560
taur_p,C2H7NO3S,0,Preserved from Nmb_iTM560
tcynt_e,CNS,-1,Preserved from Nmb_iTM560
tcynt_p,CNS,-1,Preserved from Nmb_iTM560
tdcoa_c,C35H58N7O17P3S,-4,Preserved from Nmb_iTM560
tddec2eACP_c,C23H41N2O8PRS,-1,Preserved from Nmb_iTM560
tdeACP_c,C25H45N2O8PRS,-1,Preserved from Nmb_iTM560
tdec2eACP_c,C21H37N2O8PRS,-1,Preserved from Nmb_iTM560
tdec3eACP_c,C21H37N2O8PRS,-1,Preserved from Nmb_iTM560
tdecoa_c,C35H56N7O17P3S,-4,Preserved from Nmb_iTM560
Tf_e,R,0,Preserved from Nmb_iTM560
TfFe3_e,RFe,3,Preserved from Nmb_iTM560
thdp_c,C7H7NO4,-2,Preserved from Nmb_iTM560
thex2eACP_c,C17H29N2O8PRS,-1,Preserved from Nmb_iTM560
thf_c,C19H21N7O6,-2,Preserved from Nmb_iTM560
thm_c,C12H17N4OS,1,Preserved from Nmb_iTM560
thm_e,C12H17N4OS,1,Preserved from Nmb_iTM560
thm_p,C12H17N4OS,1,Preserved from Nmb_iTM560
thmmp_c,C12H16N4O4PS,-1,Preserved from Nmb_iTM560
thmpp_c,C12H16N4O7P2S,-2,Preserved from Nmb_iTM560
thr_L_c,C4H9NO3,0,Preserved from Nmb_iTM560
thr_L_e,C4H9NO3,0,Preserved from Nmb_iTM560
thr_L_p,C4H9NO3,0,Preserved from Nmb_iTM560
thrp_e,C4H8NO6P,-2,Preserved from Nmb_iTM560
thrp_p,C4H8NO6P,-2,Preserved from Nmb_iTM560
thym_e,C5H6N2O2,0,Preserved from Nmb_iTM560
thym_p,C5H6N2O2,0,Preserved from Nmb_iTM560
thymd_c,C10H14N2O5,0,Preserved from Nmb_iTM560
thymd_e,C10H14N2O5,0,Preserved from Nmb_iTM560
thymd_p,C10H14N2O5,0,Preserved from Nmb_iTM560
tma_e,C3H10N,1,Preserved from Nmb_iTM560
tma_p,C3H10N,1,Preserved from Nmb_iTM560
tmao_e,C3H9NO,0,Preserved from Nmb_iTM560
tmao_p,C3H9NO,0,Preserved from Nmb_iTM560
tmrs2eACP_c,C25H45N2O8PRS,-1,Preserved from Nmb_iTM560
toct2eACP_c,C19H33N2O8PRS,-1,Preserved from Nmb_iTM560
toctd2eACP_c,C29H53N2O8PRS,-1,Preserved from Nmb_iTM560
tpalm2eACP_c,C27H49N2O8PRS,-1,Preserved from Nmb_iTM560
trdox_c,X,0,Preserved from Nmb_iTM560
trdrd_c,XH2,0,Preserved from Nmb_iTM560
tre_e,C12H22O11,0,Preserved from Nmb_iTM560
tre_p,C12H22O11,0,Preserved from Nmb_iTM560
trnaglu_c,R,0,Preserved from Nmb_iTM560
trp_L_c,C11H12N2O2,0,Preserved from Nmb_iTM560
trp_L_e,C11H12N2O2,0,Preserved from Nmb_iTM560
trp_L_p,C11H12N2O2,0,Preserved from Nmb_iTM560
tsul_c,O3S2,-2,Preserved from Nmb_iTM560
tsul_e,O3S2,-2,Preserved from Nmb_iTM560
tsul_p,O3S2,-2,Preserved from Nmb_iTM560
ttdca_e,C14H27O2,-1,Preserved from Nmb_iTM560
ttdca_p,C14H27O2,-1,Preserved from Nmb_iTM560
ttdcap_c,C14H28O5P,-1,Added to iNgo_558 from BIGG
ttdcea_e,C14H25O2,-1,Preserved from Nmb_iTM560
ttdcea_p,C14H25O2,-1,Preserved from Nmb_iTM560
ttdceap_c,C14H26O5P,-1,Added to iNgo_558 from BIGG
tungs_e,O4W1,-2,Preserved from Nmb_iTM560
tungs_p,O4W1,-2,Preserved from Nmb_iTM560
tym_e,C8H12NO,1,Preserved from Nmb_iTM560
tym_p,C8H12NO,1,Preserved from Nmb_iTM560
tyr_L_c,C9H11NO3,0,Preserved from Nmb_iTM560
tyr_L_e,C9H11NO3,0,Preserved from Nmb_iTM560
tyr_L_p,C9H11NO3,0,Preserved from Nmb_iTM560
tyrp_e,C9H10NO6P,-2,Preserved from Nmb_iTM560
tyrp_p,C9H10NO6P,-2,Preserved from Nmb_iTM560
u23ga_c,C41H71N3O20P2,-2,Preserved from Nmb_iTM560
u3aga_c,C29H47N3O19P2,-2,Preserved from Nmb_iTM560
u3hga_c,C27H46N3O18P2,-1,Preserved from Nmb_iTM560
uaagmda_c,C95H152N8O28P2,-4,Preserved from Nmb_iTM560
uaccg_c,C20H26N3O19P2,-3,Preserved from Nmb_iTM560
uacgam_c,C17H25N3O17P2,-2,Preserved from Nmb_iTM560
uacgam_e,C17H25N3O17P2,-2,Preserved from Nmb_iTM560
uacgam_p,C17H25N3O17P2,-2,Preserved from Nmb_iTM560
uagmda_c,C87H139N7O23P2,-4,Preserved from Nmb_iTM560
uama_c,C23H33N4O20P2,-3,Preserved from Nmb_iTM560
uamag_c,C28H39N5O23P2,-4,Preserved from Nmb_iTM560
uamr_c,C20H28N3O19P2,-3,Preserved from Nmb_iTM560
udcpdp_c,C55H89O7P2,-3,Preserved from Nmb_iTM560
udcpdp_p,C55H89O7P2,-3,Preserved from Nmb_iTM560
udcpp_c,C55H89O4P,-2,Preserved from Nmb_iTM560
udcpp_p,C55H89O4P,-2,Preserved from Nmb_iTM560
udp_c,C9H11N2O12P2,-3,Preserved from Nmb_iTM560
udpacgal_e,C17H25N3O17P2,-2,Preserved from Nmb_iTM560
udpacgal_p,C17H25N3O17P2,-2,Preserved from Nmb_iTM560
udpg_c,C15H22N2O17P2,-2,Preserved from Nmb_iTM560
udpg_e,C15H22N2O17P2,-2,Preserved from Nmb_iTM560
udpg_p,C15H22N2O17P2,-2,Preserved from Nmb_iTM560
udpgal_c,C15H22N2O17P2,-2,Preserved from Nmb_iTM560
udpgal_e,C15H22N2O17P2,-2,Preserved from Nmb_iTM560
udpgal_p,C15H22N2O17P2,-2,Preserved from Nmb_iTM560
udpglcur_e,C15H19N2O18P2,-3,Preserved from Nmb_iTM560
udpglcur_p,C15H19N2O18P2,-3,Preserved from Nmb_iTM560
ugmd_c,C35H51N7O26P2,-4,Preserved from Nmb_iTM560
ugmda_c,C41H61N9O28P2,-4,Preserved from Nmb_iTM560
um4p_c,C38H56N8O27P2,-4,Preserved from Nmb_iTM560
ump_c,C9H11N2O9P,-2,Preserved from Nmb_iTM560
ump_e,C9H11N2O9P,-2,Preserved from Nmb_iTM560
ump_p,C9H11N2O9P,-2,Preserved from Nmb_iTM560
unaga_c,C63H103NO12P2,-2,Preserved from Nmb_iTM560
uppg3_c,C40H36N4O16,-8,Preserved from Nmb_iTM560
ura_c,C4H4N2O2,0,Preserved from Nmb_iTM560
ura_e,C4H4N2O2,0,Preserved from Nmb_iTM560
ura_p,C4H4N2O2,0,Preserved from Nmb_iTM560
urea_c,CH4N2O,0,Preserved from Nmb_iTM560
urea_e,CH4N2O,0,Preserved from Nmb_iTM560
urea_p,CH4N2O,0,Preserved from Nmb_iTM560
uri_c,C9H12N2O6,0,Preserved from Nmb_iTM560
utp_c,C9H11N2O15P3,-4,Preserved from Nmb_iTM560
val_L_c,C5H11NO2,0,Preserved from Nmb_iTM560
val_L_e,C5H11NO2,0,Preserved from Nmb_iTM560
val_L_p,C5H11NO2,0,Preserved from Nmb_iTM560
xan_c,C5H4N4O2,0,Preserved from Nmb_iTM560
xan_e,C5H4N4O2,0,Preserved from Nmb_iTM560
xan_p,C5H4N4O2,0,Preserved from Nmb_iTM560
xmp_c,C10H11N4O9P,-2,Preserved from Nmb_iTM560
xmp_e,C10H11N4O9P,-2,Preserved from Nmb_iTM560
xmp_p,C10H11N4O9P,-2,Preserved from Nmb_iTM560
xtp_c,C10H11N4O15P3,-4,Preserved from Nmb_iTM560
xtsn_c,C10H12N4O6,0,Preserved from Nmb_iTM560
xtsn_e,C10H12N4O6,0,Preserved from Nmb_iTM560
xtsn_p,C10H12N4O6,0,Preserved from Nmb_iTM560
xu5p_D_c,C5H9O8P,-2,Preserved from Nmb_iTM560
xyl_D_e,C5H10O5,0,Preserved from Nmb_iTM560
xyl_D_p,C5H10O5,0,Preserved from Nmb_iTM560
xylu_L_e,C5H10O5,0,Preserved from Nmb_iTM560
xylu_L_p,C5H10O5,0,Preserved from Nmb_iTM560
zn2_c,Zn,2,Preserved from Nmb_iTM560
zn2_e,Zn,2,Preserved from Nmb_iTM560
zn2_p,Zn,2,Preserved from Nmb_iTM560
