,Reactions,Charge,Masses
80,PRPPS,1.0,{'H': 1.0}
81,PSD141b,-1.0,"{'C': 34.0, 'O': 10.0, 'H': 63.0, 'N': 1.0, 'P': 1.0}"
82,PSD160a,-1.0,"{'C': 1.0, 'O': 2.0, 'H': -1.0}"
83,PSD160b,-1.0,"{'C': 1.0, 'O': 2.0, 'H': -1.0}"
84,PSD160c,-1.0,"{'C': 1.0, 'O': 2.0, 'H': -1.0}"
85,PSD160e,-1.0,"{'C': 1.0, 'O': 2.0, 'H': -1.0}"
86,PSSA141b,-1.0,"{'C': -34.0, 'H': -63.0, 'N': -1.0, 'O': -10.0, 'P': -1.0}"
87,PSSA160a,-1.0,"{'C': -34.0, 'H': -65.0, 'N': -1.0, 'O': -10.0, 'P': -1.0}"
88,PSSA160b,-1.0,"{'C': -36.0, 'H': -69.0, 'N': -1.0, 'O': -10.0, 'P': -1.0}"
89,PSSA160c,-1.0,"{'C': -38.0, 'H': -71.0, 'N': -1.0, 'O': -10.0, 'P': -1.0}"
90,PSSA160e,-1.0,"{'C': -38.0, 'H': -69.0, 'N': -1.0, 'O': -10.0, 'P': -1.0}"
91,SAMC,1.0,{'H': 1.0}
92,SHSL2,-1.0,{'H': -1.0}
93,SHSL3,-1.0,{'H': -1.0}
94,SHSL4,-2.0,{'H': -2.0}
95,SHSL5,-1.0,{'H': -1.0}
96,SIALT1,,"{'C': -11.0, 'H': -18.0, 'N': -1.0, 'O': -8.0}"
97,TFFE,3.0,{'Fe': 1.0}
98,TRDR1,,{'X': 1.0}
99,TSULST,-2.0,{'H': -2.0}
100,UPPRT,-1.0,{'H': -1.0}
101,XPPT,-1.0,{'H': -1.0}
102,XPRT,-1.0,{'H': -1.0}
103,CYPOX,-2.0,{}
